역명,외부↔대합실,대합실↔승강장,환승통로,이동식 안전발판,역무실 연락처
당고개,E(1번),E,,?,?02-6110-4091
상계,E(2번),L(수직형),,?,02-6110-4101
노원,"E(2,9번)",E,7호선-외부환승,?,02-6110-4111
창동,"E(1,2번)",L,1호선-L,?,02-6110-4121
쌍문,E(1번),E,,?,02-6110-4131
수유,E(2번),E,,?,02-6110-4141
미아,E(1번),E,,?,02-6110-4151
미아삼거리,E(1번),E,,?,02-6110-4161
길음,E (5번),E,,?,02-6110-4171
성신여대입구,"E(1,2번사이,3번)",E,,?,02-6110-4181
한성대입구,"E(3,4번사이)",E,,?,02-6110-4191
혜화,"E(2,3번)",E,,?,02-6110-4201
동대문,E(9번),E,1호선-E,?,02-6110-1281
동대문 역사문화,E(2호선 1번),E,2호선-E 5호선-L,?,02-6110-2051
충무로,E(2번),E,3호선-L,?,02-6110-4231
명동,L(1번),L,,×,02-6110 - 4241
회현,L(3번),E,,?,02-6110-4251
서울역,E(12번),E,1호선-E-L-E,?,02-3149-2510
숙대입구,E(10번),E,,?,02-6110 - 4271
삼각지,"E(2,5번)",E,6호선-L,?,02-6110 - 4281
신용산,"E(5,6번사이) L(2번)",E,,?,02-6110 - 4291
이촌,"E(1,2번)",E,중앙선-L,?,02-798-3071
동작,"R(지상역 1,2번)",E,9호선-E,?,02-6110-4311
총신대입구(이수),"E(1,14번)",E,7호선-L,×,02-6110-4321
사당,"E(9,10번사이)",E,2호선-E,?,02-6110 - 4331
남태령,E(2번),E,,×,02-6110 - 4341
선바위,없음,없음,,×,02-502-1356
경마공원,없음,E,,×,02-502-7892
대공원,E(5번),E,,?,02-502-5491
과천,"E(2,5,7번)",E,,×,02-3679-8831
정부과천청사,"E(1,5,8번)",E,,×,02-503-2265
인덕원,없음,E,,×,031-422-7788
평촌,L(2번),없음,,×,031-383-7788
범계,E(6번),E,,×,031-384-7788
금정,"E (6,7번사이)",E,1호선-E,×,031-393-7788
산본,"E(1,2번사이)",L(수직형),,×,031-391-7788
수리산,"E(1,2번)",E,,×,031-396-7787
대야미,E(1번),E,,×,031-437-7788
반월,R(지상역),E,,×,031-438-7788
상록수,평지(지상역1번),E,,×,031-407-7788
한대앞,"E (1-2번,2번)",E,,×,031-406-7788
중앙,"R(지상역1번,2번)",L,,×,031-485-7788
고잔,"R(지상역1,2번)",E,,×,031-482-7788
공단,평지(지상역),E,,×,031-480-2788
안산,"L(1번,2번)",E,,×,031-491-7790
신길온천,"E(1,2번)",E,,×,031-491-7787
정왕,"R(지상역1,2번)",E,,×,031-319-7787
오이도,"E(1,2번사이,3번)",E,,×,031-319-7788
