역명,외부↔대합실,대합실↔승강장,환승통로,이동식 안전발판,역무실 연락처
봉화산,E(2번),L,,×,02-6311-6471
화랑대,E(1번),E,,?,02-6311-6461
태릉입구,E(8번),E,7호선-E,x,02-6311-7171
석계,"E(1,6번)",E,1호선-외부환승L-E,×,02-6311-6441
돌곶이,"E(4,3번)",E,,×,02-6311-6431
상월곡,E(4번),L,,×,02-6311-6421
월곡,E(출구중앙),E,,?,02-6311-6411
고려대,"E(1번,3,4번사이)",E,,?,02-6311-6401
안암,E(1번),E,,×,02-6311-6391
보문,L(8번),E,,×,02-6311-6381
창신,"E(3,4번사이)",E,,?,02-6311-6371
동묘앞,"E(1호선 1,3번)",E,1호선-E,×,02-6311-6361
신당,L(7번),E,2호선-L,×,02-6311-6351
청구,E (3번),E,5호선-E,×,02-6311-5371
약수,E(3호선 3번),E,3호선-외부환승,×,02-6311-6331
버티고개,"E(2,3번사이)",E(경사형),,×,02-6311-6321
한강진,E(3번),E,,×,02-6311-6311
이태원,"E(1,2번)",E,,×,02-6311-6301
녹사평,"E(1,2번)",E,,?,02-6311-6291
삼각지,"E(8,12번)",E,4호선-L,×,02-6311-6281
효창공원앞,"L(1,3번)",E,,×,02-6311-6271
공덕,"E(2,5번)",E,"5호선-E(봉화산행), L(응암행)",×,02-6311-5291
대흥,L(2번),E,,×,02-6311-6251
광흥창,E(1번),E,,×,02-6311-6241
상수,L(4번),E,,×,02-6311-6231
합정,"E(5,6번사이)",E,2호선-E,?,02-6311-6221
망원,E(2번),E,,×,02-6311-6211
마포구청,E(8번),E,,×,02-6311-6201
월드컵경기장,"E(2,3번)",E,,?,02-6311-6191
디지털미디어씨티,E(4번),E,경의선 - L,×,02-6311-6181
증산,E(2번),E,,×,02-6311-6171
새절,"E(1,2번사이)",상선(응암방면)-E 하선(봉화산방면)-L,,×,02-6311-6161
응암,E(4번),E,,?,02-6311-6101
구산,E(4번),L,,?,02-6311-6151
연신내,E(6번 건너편),E,3호선-E,?,02-6311-6142
독바위,E(1번),E,,?,02-6311-6131
불광,E(8번),E,3호선-L,?,02-6311-6121
역촌,E(4번),E,,×,02-6311-6111
