역명,외부↔대합실,대합실↔승강장,환승통로,이동식 안전발판,역무실 연락처
상일동,L(4번),L,,×,02-6311-5531
고덕,E(2번),E,,×,02-6311-5521
명일,E(4번),E,,×,02-6311-5511
굽은다리,E(2번),E,,×,02-6311-5501
길동,E(삼한빌딩 1번),E,,×,02-6311-5491
강동,E(1번),마천&상일-E 방화-L,,×,02-6311-5481
둔촌동,"E(3,4번)",E,,×,02-6311-5541
올림픽공원,E(3번),E,,×,02-6311-5551
방이,E(3번),E,,×,02-6311-5561
오금,"E(1,5번)",E,3호선-E,×,02-6311-5571
개롱,"E(3,4번사이)",E,,×,02-6311-5581
거여,"E(1,2번사이)",E,,?,02-6311-5591
마천,L(1번),E,,×,02-6311-5601
천호,E(6번),E,8호선-E,?,02-6311-5471
광나루,E(1번),E,,×,02-6311-5461
아차산,E(3번),E,,?,02-6311-5451
군자,"E(4,7번)",E,7호선-E,×,02-6311-5441
장한평,E(8번),E,,×,02-6311-5431
답십리,E(2번),E,,×,02-6311-5421
마장,L(1번),E,,×,02-6311-5411
왕십리,E(4번),E,중앙선-R(수직형) 2호선-E,×,02-6311-5401
행당,E(3번),E,,×,02-6311-5391
신금호,E(2번),E,,?,02-6311-5381
청구,E(3번),E,6호선-E,?,02-6311-5371
동대문 역사문화,E(2호선 1번) L(7번),L,2호선-L 4호선-L,?,02-6311-5361
을지로4가,E(2호선 8번),L,2호선-L,×,02-6311-5351
종로3가,E(1호선 2-1번),L,1호선-L 3호선-L,×,02-6311-5341
광화문,"E(1,8번,해치마당) L(3번)",L,,?,02-6311-5331
서대문,"E(1,2번)",E,,?,02-6311-5321
충정로,E(8번),E,2호선-E,?,02-6311-5311
애오개,E(2번),E,,×,02-6311-5301
공덕,"E(2,5번)",E,6호선-E(봉화산행) L(응암행),×,02-6311-5291
마포,E(1번),E,,×,02-6311-5281
여의나루,E(4번),E,,?,02-6311-5271
여의도,"E(9호선1,2번사이)",E,9호선-E,×,02-6311-5261
신길,E(3번),E,1호선-L-E,?,02-6311-5251
영등포시장,E(2번),E,,x,02-6311-5241
영등포구청,E(7번),E,2호선-외부환승E,?,02-6311-5231
양평,E(2번),E,,×,02-6311-5221
오목교,"E(2번,7번)",E,,×,02-6311-5211
목동,E(5번),E,,?,02-6311-5201
신정,E(신정빌딩),E,,×,02-6311-5191
까치산,L(2번),E,2호선-R(상일동) L(김포공항),×,02-6311-5181
화곡,"E(1,2번)",E,,×,02-6311-5171
우장산,"E(1,2번)",E,,×,02-6311-5161
발산,E(7번),E,,?,02-6311-5151
송정,"E(1,2번)",E,,×,02-6311-5131
김포공항,E(3번),E,인천공항철도-E 9호선-E,?,02-6311-5121
개화산,"E(1,2번)",E,,?,02-6311-5111
방화,E(2번),E,,×,02-6311-5101
