역명,외부↔대합실,대합실↔승강장,환승통로,이동식 안전발판,역무실 연락처
개화,"E(1,2번사이)",E,,×,02-2656-0901
김포공항,E(3번),E,5호선-E 인천공항철도-E,×,02-2656-0902
공항시장,E(2번),E,,×,02-2656-0903
신방화,"E(3번,7,8번사이)",E,,×,02-2656-0904
마곡나루,-,-,-,-,미개통
양천향교,"E(3,4번/5,6번사이)",E,,×,02-2656-0906
가양,"E(4,5번/8,9번사이)",E,,×,02-2656-0907
증미,"E(1,2번사이)",E,,×,02-2656-0908
등촌,E(1번),E,,×,02-2656-0909
염창,"E (1,2번/3,4번사이)",E,,×,02-2656-0910
신목동,"E(1번,2번)",E,,×,02-2656-0911
선유도,"E(1,2번/7,8번사이)",E,,×,02-2656-0912
당산,"E(10,13번)",E,2호선-E,×,02-2656-0913
국회의사당,"E(3,4,6번)",E,,×,02-2656-0914
여의도,"E(1,2번사이)",E,5호선-E,×,02-2656-0915
샛강,"E(1,2번사이,3번)",E,,×,02-2656-0916
노량진,"E(2,5번)",E,1호선-외부환승E-L,×,02-2656-0917
노들,"E(1,3,5번)",E,,×,02-2656-0918
흑석(중앙대),"E(1,2번/3,4번사이)",E,,×,02-2656-0919
동작,"E(7,8번사이)",E,4호선-E,×,02-2656-0920
구반포,"E(2,3번사이)",E,,×,02-2656-0921
신반포,"E(1,2,3,4번)",E,,×,02-2656-0922
고속터미널,"E(1,8-1번)",E,3호선-E 7호선-L,×,02-2656-0923
사평,"E(1번,2번)",E,,×,02-2656-0924
신논현,"E? (1,4,6번)",E,,×,02-2656-0925
